YEAR,DIVISION_ID,DIVISION,NPA,LOCATION,PLACE_TYPE,PLACE_DETAIL,NIBRS,STATUS,MONTH
2018,21,Steele Creek,95,Parking Lot,Retail,Gas Station,Drug/Narcotic Violations,Closed,09
2018,17,Independence,16,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,09
2018,07,North Tryon,138,Indoors,Commercial Place,Hotel/Motel,Damage/Vandalism Of Property,Open,09
2018,14,University City,14,Indoors,Retail,Grocery Store/Supermarket,All Other Thefts,Open,09
2018,17,Independence,16,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,09
2018,17,Independence,58,Outdoors,Residential,Apartment/Duplex Private Res,All Other Offenses,Open,09
2018,21,Steele Creek,94,Indoors,Retail,Convenience Store,Shoplifting,Open,09
2018,07,North Tryon,327,Outdoors,Commercial Place,Other - Commercial Place,All Other Offenses,Open,09
2018,27,Freedom,34,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,09
2018,21,Steele Creek,45,Indoors,Retail,Department Store,Shoplifting,Open,09
2018,11,North,238,Indoors,Residential,Private Residence,Simple Assault,Closed,09
2018,14,University City,331,Indoors,Retail,Department Store,Shoplifting,Closed,09
2018,12,Hickory Grove,197,Outdoors,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,09
2018,14,University City,195,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,Closed,09
2018,14,University City,60,Parking Lot,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,09
2018,16,Providence,370,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,Open,09
2018,27,Freedom,387,Outdoors,Residential,Private Residence,Damage/Vandalism Of Property,Open,09
2018,14,University City,274,Outdoors,Residential,Apartment/Duplex Private Res,All Other Thefts,Open,09
2018,21,Steele Creek,203,Indoors,Residential,Private Residence,Missing Person,Closed,09
2018,07,North Tryon,138,Outdoors,Commercial Place,Hotel/Motel,All Other Thefts,Open,09
2018,21,Steele Creek,185,Indoors,Residential,Apartment/Duplex Private Res,Aggravated Assault,Closed,09
2018,21,Steele Creek,77,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,Closed,09
2018,16,Providence,367,Outdoors,Open Area,Street/Highway,All Other Thefts,Open,09
2018,26,Westover,178,Parking Lot,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,09
2018,07,North Tryon,291,Indoors,Residential,Private Residence,Simple Assault,Open,09
2018,14,University City,62,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,09
2018,14,University City,221,Outdoors,Residential,Private Residence,Intimidation,Closed,09
2018,22,South,257,Parking Lot,Open Area,Street/Highway,Motor Vehicle Theft,Open,09
2018,06,Eastway,389,Indoors,Residential,Private Residence,Missing Person,Closed,09
2018,12,Hickory Grove,59,Outdoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,Closed,09
2018,21,Steele Creek,256,Indoors,Residential,Private Residence,Simple Assault,Closed,09
2018,27,Freedom,140,Indoors,Retail,Gas Station,Other Unlisted Non-Criminal,Open,09
